PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REGION	CHR_ID	CHR_POS	STRONGEST SNP-RISK ALLELE	SNPS	SNP_ID_CURRENT	CONTEXT	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	9p24.1	9	6193455	rs2381416-?	rs2381416	2381416	intergenic_variant	NR	2E-12	11.698970004336
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	17q21.1	17	39908152	rs11078927-?	rs11078927	11078927	intron_variant	NR	2E-16	15.698970004336
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	1q21.3	1	152520083	rs4845783-?	rs4845783	4845783	intergenic_variant	NR	6E-06	5.22184874961636
21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	11q23.2	11	114360533	rs11214966-?	rs11214966	11214966	intergenic_variant	NR	6E-07	6.22184874961636
21804547	Dobbins SE	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804547	Common variation at 10p12.31 near MLLT10 influences meningioma risk.	Meningioma	859 European ancestry cases, 704 European ancestry controls	10p12.31	10	21541175	rs11012732-A	rs11012732	11012732	intron_variant	0.32	2E-14	13.698970004336
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	2q24.3	2	164058698	rs13002573-G	rs13002573	13002573	intron_variant	0.2	2E-08	7.69897000433602
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	4q12	4	53933078	rs871606-T	rs871606	871606	intron_variant	0.85	1E-08	8
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	7q22.3	7	106771412	rs17477177-T	rs17477177	17477177	intergenic_variant	0.72	2E-13	12.698970004336
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	8q24.12	8	119423572	rs2071518-T	rs2071518	2071518	3_prime_UTR_variant	0.17	4E-09	8.39794000867204
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	11q24.3	11	130403335	rs11222084-T	rs11222084	11222084	non_coding_transcript_exon_variant	0.38	2E-11	10.698970004336
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	10q23.33	10	94135420	rs9663362-G	rs9663362	9663362	intron_variant	0.53	5E-09	8.30102999566398
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	12q21.33	12	89666809	rs17249754-G	rs17249754	17249754	intron_variant	0.89	6E-10	9.22184874961636
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	17q21.32	17	46935905	rs17608766-T	rs17608766	17608766	3_prime_UTR_variant	0.91	6E-15	14.2218487496164
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	2q24.3	2	164106976	rs1446468-T	rs1446468	1446468	intron_variant	0.53	6E-12	11.2218487496164
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	10q25.3	10	114021768	rs2782980-T	rs2782980	2782980	regulatory_region_variant	0.2	2E-09	8.69897000433602
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	1p36.22	1	11802721	rs17367504-G	rs17367504	17367504	intron_variant	0.17	2E-16	15.698970004336
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	3p24.1	3	27496418	rs13082711-T	rs13082711	13082711	regulatory_region_variant	0.8	5E-09	8.30102999566398
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	4q24	4	102267552	rs13107325-T	rs13107325	13107325	missense_variant	0.12	1E-10	10
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	5p13.3	5	32814922	rs1173771-G	rs1173771	1173771	regulatory_region_variant	0.53	4E-09	8.39794000867204
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	5q33.3	5	158377449	rs9313772-T	rs9313772	9313772	intron_variant	0.32	1E-11	11
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	10p12.31	10	18439030	rs12258967-G	rs12258967	12258967	intron_variant	0.36	2E-16	15.698970004336
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	10q21.2	10	61707795	rs4590817-G	rs4590817	4590817	intron_variant	0.83	2E-18	17.698970004336
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	10q24.33	10	103179458	rs11191593-T	rs11191593	11191593	intron_variant	0.94	1E-15	15
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	12q21.33	12	89666809	rs17249754-G	rs17249754	17249754	intron_variant	0.89	1E-17	17
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	12q24.12	12	111569952	rs653178-T	rs653178	653178	intron_variant	0.59	7E-20	19.1549019599857
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	15q24.1	15	74785026	rs1378942-C	rs1378942	1378942	intron_variant	0.33	2E-15	14.698970004336
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	15q26.1	15	90894158	rs2521501-T	rs2521501	2521501	intron_variant	0.37	3E-08	7.52287874528034
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	20p12.2	20	10988382	rs1327235-G	rs1327235	1327235	intron_variant	0.58	4E-08	7.39794000867204
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	3p21.31	3	47885994	rs319690-T	rs319690	319690	intron_variant	0.51	3E-08	7.52287874528034
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	6p22.2	6	26107235	rs198846-G	rs198846	198846	intergenic_variant	0.86	2E-12	11.698970004336
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	11p15.2	11	16880721	rs381815-T	rs381815	381815	intron_variant	0.3	3E-08	7.52287874528034
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	11p15.4	11	10328991	rs7129220-G	rs7129220	7129220	intron_variant	0.87	4E-07	6.39794000867204
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	10q24.32	10	103086421	rs11191548-T	rs11191548	11191548	3_prime_UTR_variant	0.94	8E-11	10.0969100130081
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	20q13.32	20	59176062	rs6015450-G	rs6015450	6015450	intron_variant	0.07	2E-06	5.69897000433602
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	5p13.3	5	32814922	rs1173771-G	rs1173771	1173771	regulatory_region_variant	0.53	5E-09	8.30102999566398
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	11p15.2	11	16880721	rs381815-T	rs381815	381815	intron_variant	0.3	7E-06	5.15490195998574
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	3p22.1	3	41835922	rs3774372-T	rs3774372	3774372	missense_variant	0.78	8E-07	6.09691001300806
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	4q21.21	4	80243569	rs1458038-T	rs1458038	1458038	intergenic_variant	0.3	3E-14	13.5228787452803
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	11q22.1	11	100722807	rs633185-G	rs633185	633185	intron_variant	0.32	7E-10	9.15490195998574
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	20q13.32	20	59176062	rs6015450-G	rs6015450	6015450	intron_variant	0.07	2E-12	11.698970004336
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	17q21.32	17	46935905	rs17608766-T	rs17608766	17608766	3_prime_UTR_variant	0.91	2E-07	6.69897000433602
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	4q32.1	4	155724361	rs13139571-C	rs13139571	13139571	intron_variant	0.74	3E-07	6.52287874528034
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	3q26.2	3	169383098	rs419076-T	rs419076	419076	intron_variant	0.44	8E-13	12.0969100130081
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	1p13.2	1	112673921	rs2932538-G	rs2932538	2932538	intron_variant	0.74	8E-06	5.09691001300806
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	12q24.21	12	114914926	rs2384550-G	rs2384550	2384550	regulatory_region_variant	0.66	4E-06	5.39794000867204
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	17q21.33	17	49325445	rs12940887-T	rs12940887	12940887	intron_variant	0.42	2E-07	6.69897000433602
21909107	LeMaire SA	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909107	Genome-wide association study identifies a susceptibility locus for thoracic aortic aneurysms and aortic dissections spanning FBN1 at 15q21.1.	Thoracic aortic aneurysms and dissections	765 European ancestry cases, 874 European ancestry controls	15q21.1	15	48622578	rs1036476-?	rs1036476	1036476	intron_variant	NR	6E-13	12.2218487496164
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	8q24.13	8	122395852	rs11781551-A	rs11781551	11781551	intergenic_variant	0.48	2E-11	10.698970004336
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	19q13.32	19	44912383	rs445925-A	rs445925	445925	non_coding_transcript_exon_variant	0.11	2E-08	7.69897000433602
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	8p23.1	8	10813762	rs6601530-G	rs6601530	6601530	intron_variant	0.45	2E-08	7.69897000433602
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	6p22.2	6	25771819	rs4712972-A	rs4712972	4712972	intron_variant	NR	8E-08	7.09691001300806
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	7q22.3	7	106769006	rs17398575-A	rs17398575	17398575	intron_variant	0.25	2E-12	11.698970004336
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	4q31.22	4	147472512	rs1878406-T	rs1878406	1878406	intergenic_variant	0.13	7E-12	11.1549019599857
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	19p13.2	19	11091630	rs6511720-T	rs6511720	6511720	intron_variant	NR	1E-07	7
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	3p14.1	3	66717940	rs17045031-A	rs17045031	17045031	intergenic_variant	NR	4E-07	6.39794000867204
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	10q21.2	10	60586880	rs16915157-?	rs16915157	16915157	intron_variant	NR	5E-06	5.30102999566398
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	10q24.32	10	103016151	rs7914558-G	rs7914558	7914558	intron_variant	0.59	2E-08	7.69897000433602
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	10q24.33	10	103146454	rs11191580-T	rs11191580	11191580	intron_variant	0.91	3E-08	7.52287874528034
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	11p15.1	11	17138601	rs4356203-?	rs4356203	4356203	intron_variant	NR	1E-07	7
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	11q24.2	11	125591814	rs548181-G	rs548181	548181	5_prime_UTR_variant	0.88	1E-06	6
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	11q25	11	130960853	rs10894294-?	rs10894294	10894294	intergenic_variant	NR	3E-06	5.52287874528034
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	12p13.33	12	2240418	rs4765905-?	rs4765905	4765905	intron_variant	NR	2E-06	5.69897000433602
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	15q15.1	15	40303426	rs1869901-?	rs1869901	1869901	intron_variant	NR	3E-06	5.52287874528034
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	15q22.2	15	61547904	rs4775413-?	rs4775413	4775413	intron_variant	NR	2E-06	5.69897000433602
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	18q21.2	18	55084786	rs12966547-G	rs12966547	12966547	regulatory_region_variant	0.58	3E-08	7.52287874528034
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	18q21.2	18	55527730	rs17512836-C	rs17512836	17512836	intron_variant	0.02	1E-06	6
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	1p21.3	1	98037378	rs1625579-T	rs1625579	1625579	intron_variant	0.8	2E-11	10.698970004336
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	1p35.2	1	29958713	rs1009080-?	rs1009080	1009080	intergenic_variant	NR	3E-06	5.52287874528034
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	1p36.23	1	8362616	rs2252865-?	rs2252865	2252865	intron_variant	NR	3E-06	5.52287874528034
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	1q43	1	243445665	rs6703335-?	rs6703335	6703335	intron_variant	NR	5E-08	7.30102999566398
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	2q32.3	2	193119895	rs17662626-A	rs17662626	17662626	intergenic_variant	0.91	5E-08	7.30102999566398
